text	label
that is accurate	yes
yes, that's right	yes
i vote yes	yes
that appears true	yes
is is very much true	yes
accepted	yes
absolutely correct	yes
yes you are correct	yes
that's true	yes
yup, that's true	yes
what's the average time it takes for a new card to arrive	replacement_card_duration
how long will it take to get a new card	replacement_card_duration
after losing a credit card, how long does it take to get a new one	replacement_card_duration
when will i received a replacement card	replacement_card_duration
how long should i expect to wait for my replacement credit card	replacement_card_duration
how long before i can get a replacement card	replacement_card_duration
i recently lost my credit card and need to know how long it takes to get a new one mailed to me	replacement_card_duration
how long before my new card is mailed to me	replacement_card_duration
i need to know the time it takes to get a new credit card sent to someone who lost theirs	replacement_card_duration
how long does it take to get a new credit card	replacement_card_duration
certainly not	no
that is incorrect	no
it is very much false	no
that's definitely false	no
you are wrong	no
that’s not correct	no
false	no
i don't like that, no	no
not that one	no
thats a negative	no
has there been any changes in the status of my credit card application	application_status
when will my credit card app be approved	application_status
i want to know if my application for a credit card at community bank has been approved or not	application_status
has my application for a trust bank credit card been mailed out and if so was i approved or not	application_status
did they process the credit card i applied for	application_status
can you check if my mastercard application has been reviewed yet	application_status
where can i find out the status of my credit card application	application_status
when can i hear the decision on my credit card application	application_status
what is the status of my new credit card application	application_status
i want to know the status of my credit card application	application_status
how long should i fry an egg for	cook_time
how long do i need to cook pot au feu for	cook_time
about how long should you cook lasagna	cook_time
how long does it take to prepare a lasagna	cook_time
how long do i cook chicken breast	cook_time
how long does it take to make pho	cook_time
when can i expect meal of salmon to be finished	cook_time
how long do i cook steak	cook_time
how long do the brownies have to cook	cook_time
how long do i boil eggs	cook_time
what is my annual percentage rate	interest_rate
i need help finding the apr on my aspire loan	interest_rate
what kind of interest can i expect with my chase account	interest_rate
i want to know my interest rate	interest_rate
what is walker bank paying me in interest on my account	interest_rate
what interest rate am i getting from citigroup	interest_rate
help me determine my interest rate	interest_rate
i must find the interest rate for my checking account	interest_rate
where do i see what interest my mortgage has	interest_rate
i would like to know my chase interest rate	interest_rate
call aj	make_call
i am going to call the landlord	make_call
initiate a phone call with receptionist	make_call
x needs to be called by me	make_call
put me on a call to sally	make_call
use my phone to dial work	make_call
call macy	make_call
would you give jenny a call	make_call
call aj now	make_call
call 911	make_call
is there a charge to use my card in france	international_fees
do i have transaction fees if i use my american card internationally	international_fees
will i be charged if i use the card in italy	international_fees
say that i am in tulsa, will i be charged even more if i use my card	international_fees
if i use my card in england will it cost me extra	international_fees
what are the transaction fee using our card in florence if any	international_fees
will i be charged if i use my card in mexico	international_fees
is there a surcharge for using my card in mexico	international_fees
in x, what is the charge if i use my card	international_fees
if i'm in portland can i still use my card without getting charged extra	international_fees
are you working for me or what	who_do_you_work_for
who is it that you work for	who_do_you_work_for
who would you say that you are working for	who_do_you_work_for
is there another person that controls you	who_do_you_work_for
are you employed by someone else	who_do_you_work_for
what is the name of your boss	who_do_you_work_for
what's your boss' name	who_do_you_work_for
what company do you toil for	who_do_you_work_for
what is your boss's name	who_do_you_work_for
who's your boss	who_do_you_work_for
tell me the number of points on my visa card	rewards_balance
how do i check my rewards for my chase card	rewards_balance
i have points on my capital one card and i'd like to know how many i've earned	rewards_balance
how many points have i earned with my chase card	rewards_balance
i need to know my rewards balance on my discover card	rewards_balance
i would like to check my rewards for my credit card	rewards_balance
