text	label
will i need a visa to go to moldova	international_visa
visa's are hard to get do i need one when i travel to israel	international_visa
to vacation to tel aviv do i need a travel visa	international_visa
i need to know if i must have an international visa to go to france	international_visa
does mexico require an international visa	international_visa
if i go to brazil, do i need to get an international visa	international_visa
i need to know if i need a visa to travel to el salvador	international_visa
does laos require a travel visa	international_visa
will i need a visa to visit ireland	international_visa
does mexico travel require a visa	international_visa
has there been any changes in the status of my credit card application	application_status
when will my credit card app be approved	application_status
i want to know if my application for a credit card at community bank has been approved or not	application_status
has my application for a trust bank credit card been mailed out and if so was i approved or not	application_status
did they process the credit card i applied for	application_status
can you check if my mastercard application has been reviewed yet	application_status
where can i find out the status of my credit card application	application_status
when can i hear the decision on my credit card application	application_status
what is the status of my new credit card application	application_status
i want to know the status of my credit card application	application_status
how long should i fry an egg for	cook_time
how long do i need to cook pot au feu for	cook_time
about how long should you cook lasagna	cook_time
how long does it take to prepare a lasagna	cook_time
how long do i cook chicken breast	cook_time
how long does it take to make pho	cook_time
when can i expect meal of salmon to be finished	cook_time
how long do i cook steak	cook_time
how long do the brownies have to cook	cook_time
how long do i boil eggs	cook_time
what is my annual percentage rate	interest_rate
i need help finding the apr on my aspire loan	interest_rate
what kind of interest can i expect with my chase account	interest_rate
i want to know my interest rate	interest_rate
what is walker bank paying me in interest on my account	interest_rate
what interest rate am i getting from citigroup	interest_rate
help me determine my interest rate	interest_rate
i must find the interest rate for my checking account	interest_rate
where do i see what interest my mortgage has	interest_rate
i would like to know my chase interest rate	interest_rate
please put babysitting on my to do list	todo_list_update
i just finished taking out my recycling, so cross that off my to do list	todo_list_update
clear my to do list	todo_list_update
cross off grocery shopping from todo list	todo_list_update
remove grocery shopping from todo list	todo_list_update
put clean refrigerator on my spring cleaning to do list	todo_list_update
erase get a haircut from my to do list, please	todo_list_update
help remind me that i need to add laundry to my list of housework	todo_list_update
throw mopping onto my to do list	todo_list_update
please cross off schedule acupuncture appointment off of the to do list	todo_list_update
i'd like to add pancake mix to my shopping list if it's not already there	shopping_list_update
i'm out of bananas; add to shopping list	shopping_list_update
on my shopping list, remove eggs	shopping_list_update
add eggs to my shopping list if it's not already there	shopping_list_update
is milk in my shopping list if not, add it	shopping_list_update
i would like to put carrots on my list for shopping	shopping_list_update
milk should be added to my shopping list	shopping_list_update
we no longer need fries on the shopping lisr	shopping_list_update
add sprite to my shopping list	shopping_list_update
do i have milk on my shopping list please add it if it is not	shopping_list_update
what timezone is phoenix in	timezone
what's the timezone over there	timezone
i need the time zone for la	timezone
whats the timezone for modesto	timezone
what timezone is melbourne in	timezone
which timezone is england in	timezone
what are the time zones of russia	timezone
what is texas's timezone	timezone
for italy what timezone is it in	timezone
what timezone do they use in arizona	timezone
would you mind switching to whisper mode	whisper_mode
turn off whisper mode	whisper_mode
enable whisper mode	whisper_mode
leave whisper mode	whisper_mode
i want you to use whisper voice now	whisper_mode
volume to whisper voice	whisper_mode
please shut off whisper mode for now	whisper_mode
go to the whisper voice	whisper_mode
can you whisper until i tell you not to	whisper_mode
change mode to whisper	whisper_mode
how many calories are in oranges	calories
how many calories are in a bag of regular doritos	calories
rolls have how many calories	calories
how many calories should i plan to be in a donut	calories
can you tell me the amount of calories i can expect one tuna sandwich to contain	calories
can you tell me the calorie count in a glazed donut	calories
what is the calorie content of a scoop of chocolate ice cream	calories
inform me of the calorie content of vanilla ice cream	calories
how many calories on average are in a hot dog	calories
can you tell me the calories for the cheeseburger	calories
do i have brush my teeth on my todo list	todo_list
the tasks for today, what are they	todo_list
what's on my todo list	todo_list
did i put unpacking groceries on my to do list	todo_list
tell me what things i need to accomplish per my to do list, please	todo_list
is cleaning the outside windows on my todo list	todo_list
what items do i need to do	todo_list
tell me the content of my to do list today	todo_list
what is left to do today	todo_list
does my errand list have goodwill on it	todo_list
is my day off request approved	pto_request_status
i want to know the status of my vacation request	pto_request_status
has my vacation request been updated	pto_request_status
my vacation, has it been approved yet	pto_request_status
how is my vacation looking	pto_request_status
has my vacation request been approved yet	pto_request_status
check if my vacation time has been approved	pto_request_status
do you know if my vacation request has been approved	pto_request_status
did you get confirmation my vacation is a go	pto_request_status
please let me know the status of my vacation request	pto_request_status
roll the five sided die	roll_dice
complete a roll on a 4 sided dice	roll_dice
please roll the 5 sided dice	roll_dice
i need a 10 sided die rolled	roll_dice
can you roll a dice with 6 sides	roll_dice
role a 10 sided die for me	roll_dice
give a 6 sided dice a roll for me	roll_dice
will you roll a 2 sided dice	roll_dice
roll a die please	roll_dice
i want you to roll a 5 sided dice for me	roll_dice
i wanna know when should i get my tires changed next	tire_change
would you say i need new tires if i last bought them on the 24th	tire_change
how many miles are my tires rated for	tire_change
how often do tires need changing	tire_change
how many miles do i drive before i have to get new tires i replaced them four years ago	tire_change
would you tell me when i should replace my tires next if i last replaced them on june 2	tire_change
how do i know if it is time to replace my tires	tire_change
when do my tires need changing after i replaced them last week	tire_change
how often should i get my tires changed	tire_change
when should i replace my tires next if i last replaced them on the 1st	tire_change
when can i start boarding my flight	flight_status
tell me the status of flight dl123	flight_status
i need to know when my flight scheduled to board	flight_status
what's the status of by delta flight	flight_status
are there any expected delays for flight dl123	flight_status
how long until my flight is here	flight_status
what landing time is scheduled for my flight	flight_status
when will i get to my destination	flight_status
what's the news with my delta flight	flight_status
i would appreciate it if you could tell me the status of my southwest flight	flight_status
let's add wonder by hillsong united to my playlist	update_playlist
please add this song to my country music playlist	update_playlist
add a song to my rock playlist	update_playlist
add this song to my jazz playlist	update_playlist
"""i want this song put on my """"kids"""" playlist"""	update_playlist
"""make this song part of the """"kids"""" playlist"""	update_playlist
add single ladies by beyonce to my pop playlist	update_playlist
please add what i listen to to my lolla playlist	update_playlist
can you help me add the song i listen to to my clutch playlist	update_playlist
i gotta add hey jude by the beatles to my playlist	update_playlist
can i increase my credit limit from 1000 to 2000 please	credit_limit_change
can i raise the credit limit for my discover card	credit_limit_change
can i increase the credit limit on my walmart card	credit_limit_change
change my credit limit, please	credit_limit_change
is there a way to increase the limit on my visa card	credit_limit_change
can i increase the credit limit on my capital one card	credit_limit_change
i need to increase my credit limit for my visa credit card, can you assist me	credit_limit_change
please help me increase my mastercard credit card limit	credit_limit_change
can i increase the credit limit on my discover card	credit_limit_change
is it possible to increase my credit limit to 1000 dollars	credit_limit_change
i need you to flip a coin once	flip_coin
flip a coin, i choose heads	flip_coin
ai, flip a coin for me	flip_coin
lets go with heads or tails	flip_coin
flip a coin heads or tails	flip_coin
lets do a coin toss, i call tails	flip_coin
flip a coin now	flip_coin
heads, coin flip	flip_coin
will you get a coin and flip it	flip_coin
i call tails for a coin flip you need to do right now	flip_coin
i want a hotel with good review in honolulu, can you find one	book_hotel
can you book me a hotel in los angeles near commerce casino from april 1st to the 5th	book_hotel
i'd like a placed booked in san diego from may 1st, 2020 to june 2nd, 2020	book_hotel
i need a hotel room for 4 people in lakewood from monday to wednesday	book_hotel
are there any openings in new york city from april 2 through april 8	book_hotel
i need a bed in brownsburg near walmart from apil 4th until the 5th	book_hotel
book me a hotel room in memphis for 3 people from 3/6 until 3/10	book_hotel
i need to book a hotel in ny, queens arrive on 8th and leave on the 13th	book_hotel
get me a hotel room big enough for 4 people from may 3 to may 5 in boston	book_hotel
i need your help to find a good reviewed hotel in washington	book_hotel
when will i need my next oil change	oil_change_when
when will i need to change my oil again	oil_change_when
after how long should i change my oil	oil_change_when
when does my oil need to be changed	oil_change_when
should i get an oil change	oil_change_when
when will my car need an oil change	oil_change_when
how often should i change the oil	oil_change_when
how long until i need to change my oil	oil_change_when
what is the time frame for changing oil	oil_change_when
how do i know when i need my next oil change	oil_change_when
what are your favorite hobbies to take part in	what_are_your_hobbies
what are some things you like doing	what_are_your_hobbies
i want to talk to you about your hobbies	what_are_your_hobbies
what do you do on off days	what_are_your_hobbies
what things do you like to do	what_are_your_hobbies
what are some of your hobbies	what_are_your_hobbies
tell me about your hobbies	what_are_your_hobbies
what are some of the hobbies you enjoy doing	what_are_your_hobbies
what kinds of activities to you participate in during your free time	what_are_your_hobbies
are you involved in hobbies	what_are_your_hobbies
please cancel the table for two at burger king	cancel_reservation
tell the restaurant to cancel my reservation	cancel_reservation
repeal the dinner reservation	cancel_reservation
could you cancel my reservation for winters at the palace tonight	cancel_reservation
is it possible to cancel the reservation at outback for the johnsons	cancel_reservation
please cancel my 7:30 reservation for morton's	cancel_reservation
cancel that reservation for 8 at barney's	cancel_reservation
please cancel the table i had reserved for tonight	cancel_reservation
cancel reservation at eight for the group	cancel_reservation
i need to put in a cancellation for the dinner plans tonight	cancel_reservation
i need to know the date in 256 days	date
when will it be in 10 days	date
give me today's date	date
give me tomorrow's date please	date
please give me today's date	date
what will the date be 100 days from now	date
what date will it be 9 days from now	date
tell me what the date will be tomorrow	date
give me the date	date
in 2 days, what date will it be	date
do i have reservations at creme at 7 pm	confirm_reservation
i would like to try and confirm that i have a reservation at macaroni grill for silva	confirm_reservation
you know the reservation i have on 2:00 friday i confirm it	confirm_reservation
verify my reservation for smith and wollensky at 6:45	confirm_reservation
i would like to try and confirm that i have a reservation at chili’s for melinda	confirm_reservation
can you you confirm my reservation for jean at taco house	confirm_reservation
check to see if i have reservations at prado at 6 pm	confirm_reservation
can you confirm my reservation for steve at olive garden	confirm_reservation
please tell me if my reservation is scheduled for sally's at 3 pm	confirm_reservation
please confirm my reservation for dinner at gusto handcrafted pasta & pizza at 6:30 pm	confirm_reservation
what's the amount due on my vet and vehicle registration bills	bill_balance
what do i owe to jcp	bill_balance
how much is my comcast bill	bill_balance
find out what my water bill costs please	bill_balance
