text	label
Hello - I'm on the app and trying to purchase crypto. It's not going through. What am I doing wrong?	beneficiary_not_allowed
Why can I not do a  transfer	beneficiary_not_allowed
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?	beneficiary_not_allowed
My beneficiary didn't receive my transfer	beneficiary_not_allowed
The app won't let me transfer money to a beneficiary	beneficiary_not_allowed
Hi i received an error message informing me about the transaction failure. I have done the money transfer before and it never failed. Please let me know what is the issue this time.	beneficiary_not_allowed
I tried transferring to an account but it didn't go through. What happened?	beneficiary_not_allowed
I'm suddenly getting an error while attempting a transfer that it isn't possible. Why? I've done it before.	beneficiary_not_allowed
Why couldn't I transfer to a beneficiairy?	beneficiary_not_allowed
I could not transfer to a beneficiary	beneficiary_not_allowed
Do top-up limits exist?	top_up_limits
Is there a maximum for top-ups?	top_up_limits
What is the greatest number of times that I can top-up?	top_up_limits
Are there limits with top-up?	top_up_limits
It seems I need to get information on limits for top-ups.	top_up_limits
How much can I top up in a day?	top_up_limits
Can I top up any amount?	top_up_limits
Is there a limit for the amount I can top up?	top_up_limits
I need to add a serious amount of cash to my card, how do I do that?	top_up_limits
What is the max top-up?	top_up_limits
What is the procedure for depositing a virtual card	get_disposable_virtual_card
I would like a disposable virtual card, could I get one?	get_disposable_virtual_card
Please send me a disposable virtual card.	get_disposable_virtual_card
Are there any disposable virtual cards?	get_disposable_virtual_card
I want to make an online purchase but I don't want to use my credit card. Can you tell me how a disposable virtual card works and where I can apply for one?	get_disposable_virtual_card
What are these disposable cards meant for?	get_disposable_virtual_card
I need a disposable virtual card. Please tell me how to order one.	get_disposable_virtual_card
Can you point me in the right direction of where to go to roder a disposable virtual card, I can't seem to find it.	get_disposable_virtual_card
How do I create a disposable virtual card?	get_disposable_virtual_card
Can you please explain disposable virtual cards for me?	get_disposable_virtual_card
i have a pending top-up	pending_top_up
My top up is still pending	pending_top_up
Should my top-up be completed by now?	pending_top_up
How long should it take for my top-up to finish? I've been waiting a while.	pending_top_up
I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.	pending_top_up
Please explain why my top-up hasn't been processed yet?	pending_top_up
There is a top up that has been pending for an hour and I don't know why.  I was expecting it immediately and need it now!	pending_top_up
I attempted to top up my account but it's been frozen in a pending state for well over an hour now! Is this normal? I'm a new customer and this is my first time doing this. I assumed it would be done quicker than this.	pending_top_up
Is there a reason that my top-up is still pending?	pending_top_up
new customer and filling gas for the first time today, not working,	pending_top_up
What card or currency can I use to pay?	supported_cards_and_currencies
Are cards from the US accepted?	supported_cards_and_currencies
How do I use American express to top up my account?	supported_cards_and_currencies
Which currencies can I use to add money?	supported_cards_and_currencies
How can I top up my card with another card?	supported_cards_and_currencies
can i add funds  with a card from the united states	supported_cards_and_currencies
Is American Express accepted?	supported_cards_and_currencies
Why doesn't it work when I use American Express to try to add money to my account?	supported_cards_and_currencies
Am I able to add money into my account using my American Express?	supported_cards_and_currencies
I have a US credit card, will you accept it?	supported_cards_and_currencies
What steps are taken to transfer money into my account?	transfer_into_account
Can I add money to my account via bank transfer?	transfer_into_account
where do i go to transfer money from one account to this one	transfer_into_account
Can you please explain how to transfer money using the bank transfer process?	transfer_into_account
How can I add money to my account from another account I have?	transfer_into_account
I have zero dollars in my account. Can I submit additional funds via bank transfer?	transfer_into_account
I want to do a bank transfer to this bank, from an account at another bank.	transfer_into_account
My money is all gone. What ways are okay to add money to my account?	transfer_into_account
I am in desperate need to transfer funds from another account that i have into this one, how do i do that?	transfer_into_account
How do I top up my account with a bank transfer?	transfer_into_account
Can I use my account before my Identity verification has passed?	why_verify_identity
I do not feel comfortable verifying my identity.	why_verify_identity
I am not comfortable verifying my indentity.	why_verify_identity
Is identity verification required for me to use my account?	why_verify_identity
Why is there a verification to identity	why_verify_identity
Is it possible to go ahead and log in, although I have not been confirmed yet?	why_verify_identity
I already have an account. Why can't I use it unless my identity is verified?	why_verify_identity
Can I use my account although my identity verification has yet to pass?	why_verify_identity
I would like to know why so much identity information is required?	why_verify_identity
If my identy verifacation hasn't gone through can I use my account?	why_verify_identity
Please tell me the steps to verify my identity.	verify_my_identity
What works for identity verification?	verify_my_identity
Can I get information on the identity checks?	verify_my_identity
What are the steps for the identity checks?	verify_my_identity
How do I fill out the identity check?	verify_my_identity
Do I need any kind of proof for the identity check?	verify_my_identity
What documentation do you accept for the identity check?	verify_my_identity
How do I perform identity checks?	verify_my_identity
What do you require for identification verification?	verify_my_identity
What do you need for the identity verification	verify_my_identity
I got billed an extra pound!	extra_charge_on_statement
Why is there an extra fee on my statement?	extra_charge_on_statement
what was the $1 fee i got	extra_charge_on_statement
Why was I charged an additional $1?	extra_charge_on_statement
There has been a charge pending on my account statement that I can't figue out it's for a dollar.	extra_charge_on_statement
I was overcharged a pound.	extra_charge_on_statement
I just checked my statement and saw a $1 charge, why is it there?	extra_charge_on_statement
There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.	extra_charge_on_statement
Why does my statement have an extra fee?	extra_charge_on_statement
Why did I get charged one pound seemingly randomly?	extra_charge_on_statement
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?	card_arrival
On the card that is coming, what's the tracking info?	card_arrival
When will I get my new card?	card_arrival
Is there a way to track my card?	card_arrival
I was issued a card about a week ago. why hasn't it come in yet?	card_arrival
I was expecting my new card by now.	card_arrival
2 weeks ago I ordered my new card.  It isn't here.  What should I do?	card_arrival
Shouldn't my new card be here by now?	card_arrival
My card hasn't came in the mail yet?	card_arrival
why have i not got my new card?	card_arrival
Will my transfer be done soon?	pending_transfer
Why is my transfer still pending after all this time?	pending_transfer
My payment shows that it is pending will I be charged more money?	pending_transfer
What is going on? I have checked over and over and the details of my account are right. Why is my transfer still pending? It's 2018 not 1818. Transfering money to another country can't be that hard.	pending_transfer
i transfered and yet it is still pending	pending_transfer
What am I supposed to do if the funds haven't show up from a transfer completed this morning?	pending_transfer
I have a pending money transfer	pending_transfer
The transfer was accepted but now it's stuck on pending. When will it go through?	pending_transfer
