text	label
that is accurate	yes
yes, that's right	yes
i vote yes	yes
that appears true	yes
is is very much true	yes
accepted	yes
absolutely correct	yes
yes you are correct	yes
that's true	yes
yup, that's true	yes
i need to switch to a new insurance plan	insurance_change
i would like to change my insurance from a ppo to an hmo plan	insurance_change
i want to get new insurance	insurance_change
i am thinking of switching to a different insurance plan	insurance_change
could you tell me how to make changes to my insurance policy	insurance_change
connect me with some new insurance	insurance_change
what is the procedure for signing up for a new allstate plan	insurance_change
i need to change my insurance policy, do you know how	insurance_change
what rental insurance policy do you recommend	insurance_change
how do i update my insurance	insurance_change
please put annie's baby shower on march 30 in my calendar	calendar_update
clear my calendar on march 1st	calendar_update
for friday, add a doctor's appointment to my calendar	calendar_update
clear my calendar on feb 28	calendar_update
i need buy a birthday gift for sue taken off my calendar  it is on monday or tuesday last week	calendar_update
add my dentist appointment to the calendar	calendar_update
clear my entire schedule for april 1	calendar_update
i need anniversary dinner added to my schedule for march 7	calendar_update
for the calendar, on february 8 add moms birthday	calendar_update
i want to take the 8am meeting with sam on monday the 5th off my calendar	calendar_update
what's the average time it takes for a new card to arrive	replacement_card_duration
how long will it take to get a new card	replacement_card_duration
after losing a credit card, how long does it take to get a new one	replacement_card_duration
when will i received a replacement card	replacement_card_duration
how long should i expect to wait for my replacement credit card	replacement_card_duration
how long before i can get a replacement card	replacement_card_duration
i recently lost my credit card and need to know how long it takes to get a new one mailed to me	replacement_card_duration
how long before my new card is mailed to me	replacement_card_duration
i need to know the time it takes to get a new credit card sent to someone who lost theirs	replacement_card_duration
how long does it take to get a new credit card	replacement_card_duration
certainly not	no
that is incorrect	no
it is very much false	no
that's definitely false	no
you are wrong	no
that’s not correct	no
false	no
i don't like that, no	no
not that one	no
thats a negative	no
how long is the drive from sfo to fisherman's wharf	distance
how long does it take to get to the airport in dallas	distance
how long will it take to get to tacoma	distance
if i go by bus, how long will it take to get to the airport	distance
how long does it take until i reach the sky harbor airport	distance
how many miles will it take to get to my destination	distance
how long will it take me to get to walmart	distance
about how much time will it take to get to the laundry in this area	distance
approximately how long does it take to get to the resort in miami	distance
how much farther is orlando from my location	distance
i'm too drunk to drive and need an uber home	uber
i need to obtain and uber	uber
schedule an uber to the mall	uber
get me an uber to the napa winery	uber
please book an uber for chima's	uber
order a large uber for 5 people to the zoo	uber
i need an uber	uber
get a uber for two to go to a romantic dinner at mcdonalds	uber
i would like an uber going to the train station, please	uber
get an uber for 4 passengers to get us to the phl airport	uber
call aj	make_call
i am going to call the landlord	make_call
initiate a phone call with receptionist	make_call
x needs to be called by me	make_call
put me on a call to sally	make_call
use my phone to dial work	make_call
call macy	make_call
would you give jenny a call	make_call
call aj now	make_call
call 911	make_call
i need to get some assistance figuring out how to rollover my 401k, please	rollover_401k
will my 401k carryover	rollover_401k
help me to transfer my 401k	rollover_401k
i just got this new job but i need help with my 401k rollover	rollover_401k
i recently took a new job and need help with my 401k rollover	rollover_401k
i need to get some assistance figuring out how to rollover my 401k	rollover_401k
could you roll over my 401k for me	rollover_401k
can you assist me rolling over a 401k for a new job	rollover_401k
how do i roll over my 401k	rollover_401k
do i have the ability to rollover my 401k	rollover_401k
is there a charge to use my card in france	international_fees
do i have transaction fees if i use my american card internationally	international_fees
will i be charged if i use the card in italy	international_fees
